slug,name,county,kind,file,heroImage,map_source,zoom,kb
columbus-fifth-by-northwest,"Columbus Fifth by Northwest",Franklin,neighborhood,hero_columbus_fifth-by-northwest.webp,/images/columbus-heroes/hero_columbus_fifth-by-northwest.webp,"boundary from OpenStreetMap",14,215
columbus-forest-park,"Columbus Forest Park",Franklin,neighborhood,hero_columbus_forest-park.webp,/images/columbus-heroes/hero_columbus_forest-park.webp,"exact municipal boundary (US Census TIGER 2019)",13,164
columbus-franklinton,"Columbus Franklinton",Franklin,neighborhood,hero_columbus_franklinton.webp,/images/columbus-heroes/hero_columbus_franklinton.webp,"exact municipal boundary (US Census TIGER 2019)",14,212
columbus-gahanna,"Columbus Gahanna",Franklin,neighborhood,hero_columbus_gahanna.webp,/images/columbus-heroes/hero_columbus_gahanna.webp,"exact municipal boundary (US Census TIGER 2019)",13,183
columbus-german-village,"Columbus German Village",Franklin,neighborhood,hero_columbus_german-village.webp,/images/columbus-heroes/hero_columbus_german-village.webp,"boundary from OpenStreetMap",15,216
columbus-grandview-heights,"Columbus Grandview Heights",Franklin,neighborhood,hero_columbus_grandview-heights.webp,/images/columbus-heroes/hero_columbus_grandview-heights.webp,"exact municipal boundary (US Census TIGER 2019)",14,221
columbus-harrison-west,"Columbus Harrison West",Franklin,neighborhood,hero_columbus_harrison-west.webp,/images/columbus-heroes/hero_columbus_harrison-west.webp,"exact municipal boundary (US Census TIGER 2019)",16,202
columbus-hilltop,"Columbus Hilltop",Franklin,neighborhood,hero_columbus_hilltop.webp,/images/columbus-heroes/hero_columbus_hilltop.webp,"exact municipal boundary (US Census TIGER 2019)",15,96
columbus-italian-village,"Columbus Italian Village",Franklin,neighborhood,hero_columbus_italian-village.webp,/images/columbus-heroes/hero_columbus_italian-village.webp,"exact municipal boundary (US Census TIGER 2019)",15,226
columbus-king-lincoln-bronzeville,"Columbus King-Lincoln Bronzeville",Franklin,neighborhood,hero_columbus_king-lincoln-bronzeville.webp,/images/columbus-heroes/hero_columbus_king-lincoln-bronzeville.webp,"map centred on the place, no boundary published",14,224
columbus-linden,"Columbus Linden",Franklin,neighborhood,hero_columbus_linden.webp,/images/columbus-heroes/hero_columbus_linden.webp,"exact municipal boundary (US Census TIGER 2019)",14,196
columbus-marion-franklin,"Columbus Marion-Franklin",Franklin,neighborhood,hero_columbus_marion-franklin.webp,/images/columbus-heroes/hero_columbus_marion-franklin.webp,"boundary from OpenStreetMap",16,82
columbus-merion-village,"Columbus Merion Village",Franklin,neighborhood,hero_columbus_merion-village.webp,/images/columbus-heroes/hero_columbus_merion-village.webp,"boundary from OpenStreetMap",15,191
columbus-minerva-park,"Columbus Minerva Park",Franklin,neighborhood,hero_columbus_minerva-park.webp,/images/columbus-heroes/hero_columbus_minerva-park.webp,"exact municipal boundary (US Census TIGER 2019)",15,196
columbus-near-east-side,"Columbus Near East Side",Franklin,neighborhood,hero_columbus_near-east-side.webp,/images/columbus-heroes/hero_columbus_near-east-side.webp,"exact municipal boundary (US Census TIGER 2019)",14,201
columbus-north-linden,"Columbus North Linden",Franklin,neighborhood,hero_columbus_north-linden.webp,/images/columbus-heroes/hero_columbus_north-linden.webp,"exact municipal boundary (US Census TIGER 2019)",14,173
columbus-northland,"Columbus Northland",Franklin,neighborhood,hero_columbus_northland.webp,/images/columbus-heroes/hero_columbus_northland.webp,"exact municipal boundary (US Census TIGER 2019)",12,172
columbus-olde-towne-east,"Columbus Olde Towne East",Franklin,neighborhood,hero_columbus_olde-towne-east.webp,/images/columbus-heroes/hero_columbus_olde-towne-east.webp,"map centred on the place, no boundary published",14,218
columbus-polaris,"Columbus Polaris",Delaware,neighborhood,hero_columbus_polaris.webp,/images/columbus-heroes/hero_columbus_polaris.webp,"boundary from OpenStreetMap",16,164
columbus-short-north,"Columbus Short North",Franklin,neighborhood,hero_columbus_short-north.webp,/images/columbus-heroes/hero_columbus_short-north.webp,"map centred on the place, no boundary published",14,234
columbus-south-side,"Columbus South Side",Franklin,neighborhood,hero_columbus_south-side.webp,/images/columbus-heroes/hero_columbus_south-side.webp,"exact municipal boundary (US Census TIGER 2019)",13,198
columbus-university-district,"Columbus University District",Franklin,neighborhood,hero_columbus_university-district.webp,/images/columbus-heroes/hero_columbus_university-district.webp,"exact municipal boundary (US Census TIGER 2019)",14,207
columbus-upper-arlington,"Columbus Upper Arlington",Franklin,neighborhood,hero_columbus_upper-arlington.webp,/images/columbus-heroes/hero_columbus_upper-arlington.webp,"exact municipal boundary (US Census TIGER 2019)",13,201
columbus-victorian-village,"Columbus Victorian Village",Franklin,neighborhood,hero_columbus_victorian-village.webp,/images/columbus-heroes/hero_columbus_victorian-village.webp,"exact municipal boundary (US Census TIGER 2019)",15,223
columbus-weinland-park,"Columbus Weinland Park",Franklin,neighborhood,hero_columbus_weinland-park.webp,/images/columbus-heroes/hero_columbus_weinland-park.webp,"exact municipal boundary (US Census TIGER 2019)",15,225
